"","brand","fuel","year","age"
"515","TOYOTA","PHEV",2014,1
"516","TOYOTA","PHEV",2014,1
"517","TOYOTA","PHEV",2014,1
"518","TOYOTA","PHEV",2014,1
"519","TOYOTA","PHEV",2014,1
"520","TOYOTA","PHEV",2014,1
"521","TOYOTA","PHEV",2014,1
"522","TOYOTA","PHEV",2014,1
"523","TOYOTA","PHEV",2014,1
"524","TOYOTA","PHEV",2014,1
"525","TOYOTA","PHEV",2014,1
"526","TOYOTA","PHEV",2014,1
"527","TOYOTA","PHEV",2014,1
"528","TOYOTA","PHEV",2014,1
"529","TOYOTA","PHEV",2014,1
"530","TOYOTA","PHEV",2014,1
"531","TOYOTA","PHEV",2014,1
"532","TOYOTA","PHEV",2014,1
"533","TOYOTA","PHEV",2014,1
"534","TOYOTA","PHEV",2014,1
"535","TOYOTA","PHEV",2014,1
"536","TOYOTA","PHEV",2014,1
"537","TOYOTA","PHEV",2014,1
"538","TOYOTA","PHEV",2014,1
"539","TOYOTA","PHEV",2014,1
"540","TOYOTA","PHEV",2014,1
"541","TOYOTA","PHEV",2014,1
"542","TOYOTA","PHEV",2014,1
"543","TOYOTA","PHEV",2014,1
"544","TOYOTA","PHEV",2014,1
"545","TOYOTA","PHEV",2014,1
"546","TOYOTA","PHEV",2014,1
"547","TOYOTA","PHEV",2014,1
"548","TOYOTA","PHEV",2014,1
"549","TOYOTA","PHEV",2014,1
"550","TOYOTA","PHEV",2014,1
"551","TOYOTA","PHEV",2014,1
"552","TOYOTA","PHEV",2014,1
"553","TOYOTA","PHEV",2014,1
"554","TOYOTA","PHEV",2014,1
"555","TOYOTA","PHEV",2014,1
"556","TOYOTA","PHEV",2014,1
"557","TOYOTA","PHEV",2014,1
"558","TOYOTA","PHEV",2014,1
"559","TOYOTA","PHEV",2014,1
"560","TOYOTA","PHEV",2014,1
"561","TOYOTA","PHEV",2014,1
"562","TOYOTA","PHEV",2014,1
"563","TOYOTA","PHEV",2014,1
"564","TOYOTA","PHEV",2014,1
"565","TOYOTA","PHEV",2014,1
"566","TOYOTA","PHEV",2014,1
"567","TOYOTA","PHEV",2014,1
"568","TOYOTA","PHEV",2014,1
"569","TOYOTA","PHEV",2014,1
"570","TOYOTA","PHEV",2014,1
"571","TOYOTA","PHEV",2014,1
"572","TOYOTA","PHEV",2014,1
"573","TOYOTA","PHEV",2014,1
"574","TOYOTA","PHEV",2014,1
"575","TOYOTA","PHEV",2014,1
"576","TOYOTA","PHEV",2014,1
"577","TOYOTA","PHEV",2014,1
"578","TOYOTA","PHEV",2014,1
"579","TOYOTA","PHEV",2014,1
"580","TOYOTA","PHEV",2014,2
"581","TOYOTA","PHEV",2014,1
"582","TOYOTA","PHEV",2014,1
"583","TOYOTA","PHEV",2014,1
"584","TOYOTA","PHEV",2014,1
"585","TOYOTA","PHEV",2014,1
"586","TOYOTA","PHEV",2014,1
"587","TOYOTA","PHEV",2014,2
"588","TOYOTA","PHEV",2014,1
"589","TOYOTA","PHEV",2014,1
"590","TOYOTA","PHEV",2014,1
"591","TOYOTA","PHEV",2014,1
"592","TOYOTA","PHEV",2014,1
"593","TOYOTA","PHEV",2014,1
"594","TOYOTA","PHEV",2014,1
"595","TOYOTA","PHEV",2014,1
"596","TOYOTA","PHEV",2014,1
"597","TOYOTA","PHEV",2014,1
"598","TOYOTA","PHEV",2014,1
"599","TOYOTA","PHEV",2014,1
"600","TOYOTA","PHEV",2014,1
"601","TOYOTA","PHEV",2014,1
"602","TOYOTA","PHEV",2014,2
"603","TOYOTA","PHEV",2014,1
"604","TOYOTA","PHEV",2014,1
"605","TOYOTA","PHEV",2014,1
"606","TOYOTA","PHEV",2014,1
"607","TOYOTA","PHEV",2014,1
"608","TOYOTA","PHEV",2014,1
"609","TOYOTA","PHEV",2014,1
"610","TOYOTA","PHEV",2014,1
"611","TOYOTA","PHEV",2014,1
"612","TOYOTA","PHEV",2014,1
"613","TOYOTA","PHEV",2014,1
"614","TOYOTA","PHEV",2014,1
"615","TOYOTA","PHEV",2014,1
"616","TOYOTA","PHEV",2014,1
"617","TOYOTA","PHEV",2014,1
"618","TOYOTA","PHEV",2014,1
"619","TOYOTA","PHEV",2014,1
